salesperson,sales
tensorflow/python/ops/math_ops.py,48
tensorflow/python/util/deprecation.py,38
tensorflow/python/ops/array_ops.py,36
tensorflow/contrib/metrics/python/ops/metric_ops.py,34
tensorflow/python/ops/image_ops_impl.py,27
tensorflow/python/ops/metrics_impl.py,23
tensorflow/python/ops/sparse_ops.py,22
tensorflow/contrib/framework/python/ops/variables.py,21
tensorflow/python/ops/nn_ops.py,21
tensorflow/contrib/framework/python/ops/arg_scope.py,20
tensorflow/contrib/graph_editor/select.py,19
tensorflow/python/framework/errors_impl.py,19
tensorflow/python/framework/ops.py,19
tensorflow/contrib/lookup/lookup_ops.py,18
tensorflow/python/ops/check_ops.py,17
tensorflow/python/ops/nn_impl.py,16
tensorflow/contrib/layers/python/layers/feature_column.py,14
tensorflow/python/ops/variables.py,14
tensorflow/python/training/input.py,14
tensorflow/contrib/legacy_seq2seq/python/ops/seq2seq.py,13
tensorflow/python/lib/io/file_io.py,12
tensorflow/contrib/graph_editor/reroute.py,11
tensorflow/contrib/graph_editor/transform.py,11
tensorflow/contrib/graph_editor/util.py,10
tensorflow/contrib/rnn/python/ops/core_rnn_cell_impl.py,10
tensorflow/python/ops/data_flow_ops.py,10
tensorflow/python/ops/losses/losses_impl.py,10
tensorflow/python/training/saver.py,10

